session_swing,hand_speed_mag_swing_max_velo_x,hand_speed_mag_swing_max_velo_x_pct,torso_angular_velocity_swing_max_x,torso_angular_velocity_swing_max_x_pct,swing_efficiency,swing_efficiency_pct,bat_torso_angle_connection_x,bat_torso_angle_connection_x_pct,attack_angle_contact_x,attack_angle_contact_x_pct,poi_x,poi_x_pct,poi_y,poi_y_pct,pitch_angle,pitch_angle_pct,exit_velo_mph_x,exit_velo_mph_x_pct
103_1,1527.4279,7.4,775.7749,6.2,2.8938,13.3,121.0109,85.7,5.7984,60.9,-2.16,12.7,28.02,34.9,-7.0,28.9,97.2,86.1
103_2,1534.3438,7.9,775.3766,6.0,2.9806,21.2,124.9791,90.7,0.2952,26.3,-3.67,6.2,24.45,21.3,-7.2,21.3,88.8,36.7
103_3,1497.3859,5.9,793.0441,8.4,3.1746,44.8,122.6542,88.1,7.9991,73.8,-0.77,21.3,33.68,72.5,-6.4,59.2,88.9,37.2
103_4,1400.993,2.1,819.989,13.6,2.7059,5.3,119.3526,80.9,-0.0462,25.0,-4.2,5.8,35.8,85.5,-5.8,78.7,83.1,18.0
103_5,1548.1466,9.3,774.5865,5.7,3.0629,31.0,125.0015,90.9,8.7967,78.8,0.84,49.1,32.45,63.2,-6.5,55.0,91.6,53.6
123_1,1599.7023,16.7,921.7173,51.6,2.9061,13.9,88.9192,6.2,5.7267,60.4,3.41,69.7,32.07,61.6,-6.8,38.1,74.6,3.6
123_2,1596.892,15.8,893.4857,39.8,2.9337,16.2,88.5941,5.5,7.4062,71.3,2.33,59.9,32.88,66.7,-7.2,21.3,75.4,4.3
123_3,1661.3564,26.9,936.7556,59.9,2.9286,16.0,85.9405,2.6,11.412,91.7,1.63,54.7,36.58,88.3,-6.6,50.1,76.1,5.3
123_4,1623.4452,21.5,943.4986,64.4,3.0506,29.1,89.2442,6.9,12.0787,93.3,0.63,46.4,35.74,85.0,-6.7,43.8,82.1,15.8
123_5,1641.9329,23.8,951.7537,70.1,2.8563,11.7,84.3879,1.5,5.2066,57.1,0.76,47.7,34.7,79.3,-6.6,50.1,74.5,3.4
123_6,1598.3566,16.2,959.0009,74.2,2.6798,4.6,91.2722,10.2,4.378,51.6,-0.25,25.0,32.8,66.3,-6.9,32.8,74.1,2.9
123_7,1558.3923,10.2,876.5067,32.2,2.6287,3.1,91.0823,10.0,-3.9535,9.1,3.38,69.3,27.73,33.3,-7.2,21.3,73.2,2.2
123_8,2041.3251,84.7,853.093,22.4,2.9119,14.5,91.2759,10.3,9.1746,81.4,2.12,57.3,18.78,15.5,-8.8,2.1,57.1,0.7
123_9,1482.4194,4.8,831.7553,16.5,2.7457,6.7,85.8996,2.4,-4.3899,8.1,0.0,34.4,0.0,7.5,0.0,95.8,78.7,8.2
125_1,1966.6125,76.2,897.3729,41.5,3.6662,97.2,97.5497,23.1,12.0854,93.5,-1.65,15.8,41.87,98.1,-6.0,73.8,85.2,22.5
125_2,2013.1692,81.8,914.567,48.4,3.4997,83.8,111.2325,64.4,4.4232,51.8,-2.12,13.5,37.52,90.5,-6.3,64.2,90.0,43.9
125_3,1934.5156,73.1,914.4344,48.2,3.5332,86.7,105.1135,43.7,6.4629,65.9,-1.34,18.3,39.97,96.7,-5.9,76.3,90.3,45.4
